time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2018-10-01,2018-10-02,Scattered_clouds,64.75,33.0,0.0,26.5,c02d,802
2018-10-02,2018-10-03,Scattered_clouds,72.6,32.8,0.0,24.6,c02d,802
2018-10-03,2018-10-04,Scattered_clouds,76.0,34.5,0.0,23.67,c02d,802
2018-10-04,2018-10-05,Scattered_clouds,84.0,32.5,0.0,21.0,c02n,802
2018-10-05,2018-10-06,Scattered_clouds,0.0,29.83,0.0,23.17,c02d,802
2018-10-06,2018-10-07,Scattered_clouds,0.0,29.33,0.0,21.0,c02n,802
2018-10-07,2018-10-08,Scattered_clouds,,,,,,
2018-10-08,2018-10-09,Scattered_clouds,,,,,,
2018-10-09,2018-10-10,Scattered_clouds,,,,,,
2018-10-10,2018-10-11,Scattered_clouds,,,,,,
2018-10-11,2018-10-12,Scattered_clouds,,,,,,
2018-10-12,2018-10-13,Scattered_clouds,0.0,33.0,0.0,26.25,c02d,802
2018-10-13,2018-10-14,Scattered_clouds,0.0,30.0,0.0,23.5,c02n,802
2018-10-14,2018-10-15,Scattered_clouds,0.0,31.0,0.0,25.0,c02d,802
2018-10-15,2018-10-16,Scattered_clouds,0.0,33.1,0.0,25.3,c02n,802
2018-10-16,2018-10-17,Scattered_clouds,0.0,30.62,0.0,24.88,c02d,802
2018-10-17,2018-10-18,Scattered_clouds,0.0,31.67,0.0,27.0,c02d,802
2018-10-18,2018-10-19,Scattered_clouds,,,,,,
2018-10-19,2018-10-20,Scattered_clouds,,,,,,
2018-10-20,2018-10-21,Scattered_clouds,,,,,,
2018-10-21,2018-10-22,Scattered_clouds,,,,,,
2018-10-22,2018-10-23,Scattered_clouds,62.71,28.71,0.0,27.86,c02d,802
2018-10-23,2018-10-24,Scattered_clouds,67.0,35.0,0.0,25.0,c02n,802
2018-10-24,2018-10-25,Scattered_clouds,,,,,,
2018-10-25,2018-10-26,Scattered_clouds,66.71,31.29,0.0,26.71,c02d,802
2018-10-26,2018-10-27,Scattered_clouds,65.0,29.25,0.0,25.75,c02d,802
2018-10-27,2018-10-28,Scattered_clouds,61.5,26.25,0.0,26.5,c02d,802
2018-10-28,2018-10-29,Scattered_clouds,78.0,35.0,0.0,23.0,c02n,802
2018-10-29,2018-10-30,Scattered_clouds,78.33,32.67,0.0,23.67,c02n,802
2018-10-30,2018-10-31,Scattered_clouds,82.0,28.4,0.0,23.0,c02n,802
2018-10-31,2018-11-01,Scattered_clouds,78.0,28.2,0.0,22.8,c02n,802
2018-11-01,2018-11-02,Scattered_clouds,78.0,38.0,0.0,23.0,c02n,802
2018-11-02,2018-11-03,Scattered_clouds,71.0,36.0,0.0,25.75,c02d,802
2018-11-03,2018-11-04,Scattered_clouds,63.5,35.5,0.0,28.25,c02d,802
2018-11-04,2018-11-05,Scattered_clouds,,,,,,
2018-11-05,2018-11-06,Scattered_clouds,67.71,35.0,0.0,27.29,c02d,802
2018-11-06,2018-11-07,Scattered_clouds,62.64,32.09,0.0,28.45,c02d,802
2018-11-07,2018-11-08,Scattered_clouds,,,,,,
2018-11-08,2018-11-09,Scattered_clouds,,,,,,
2018-11-09,2018-11-10,Scattered_clouds,59.5,29.0,0.0,28.5,c02d,802
2018-11-10,2018-11-11,Scattered_clouds,,,,,,
2018-11-11,2018-11-12,Scattered_clouds,,,,,,
2018-11-12,2018-11-13,Scattered_clouds,58.5,29.0,0.0,30.0,c02d,802
2018-11-13,2018-11-14,Scattered_clouds,54.67,32.67,0.0,30.33,c02d,802
2018-11-14,2018-11-15,Scattered_clouds,,,,,,
2018-11-15,2018-11-16,Scattered_clouds,,,,,,
2018-11-16,2018-11-17,Scattered_clouds,,,,,,
2018-11-17,2018-11-18,Scattered_clouds,74.67,37.0,0.0,0.0,c02d,802
2018-11-18,2018-11-19,Scattered_clouds,,,,,,
2018-11-19,2018-11-20,Scattered_clouds,,,,,,
2018-11-20,2018-11-21,Scattered_clouds,,,,,,
2018-11-21,2018-11-22,Scattered_clouds,61.14,28.86,0.0,0.0,c02d,802
2018-11-22,2018-11-23,Scattered_clouds,,,,,,
