time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2017-11-02,2017-11-03,Broken_clouds,72.6,58.4,0.0,24.8,c03d,803
2017-11-03,2017-11-04,Broken_clouds,49.71,58.29,0.0,18.43,c03d,803
2017-11-04,2017-11-05,Broken_clouds,61.5,66.0,0.0,27.0,c03d,803
2017-11-05,2017-11-06,Broken_clouds,68.85,52.0,0.0,24.69,c03n,803
2017-11-06,2017-11-07,Broken_clouds,52.58,49.67,0.0,19.08,c03n,803
2017-11-07,2017-11-08,Broken_clouds,51.0,53.2,0.0,21.2,c03n,803
2017-11-08,2017-11-09,Broken_clouds,75.67,55.33,0.0,22.0,c03n,803
2017-11-09,2017-11-10,Broken_clouds,75.8,45.8,0.0,22.0,c03n,803
2017-11-10,2017-11-11,Broken_clouds,67.09,49.64,0.0,24.09,c03n,803
2017-11-11,2017-11-12,Broken_clouds,78.0,53.0,0.0,22.0,c03d,803
2017-11-12,2017-11-13,Broken_clouds,,,,,,
2017-11-13,2017-11-14,Broken_clouds,,,,,,
2017-11-14,2017-11-15,Broken_clouds,57.0,54.67,0.0,28.33,c03d,803
2017-11-15,2017-11-16,Broken_clouds,62.0,54.25,0.0,26.0,c03d,803
2017-11-16,2017-11-17,Broken_clouds,72.6,53.8,0.0,22.7,c03n,803
2017-11-17,2017-11-18,Broken_clouds,68.14,55.14,0.0,24.57,c03n,803
2017-11-18,2017-11-19,Broken_clouds,79.0,54.75,0.0,22.62,c03n,803
2017-11-19,2017-11-20,Broken_clouds,76.47,55.12,0.0,23.12,c03n,803
2017-11-20,2017-11-21,Broken_clouds,61.42,53.42,0.0,26.5,c03n,803
2017-11-21,2017-11-22,Broken_clouds,69.4,53.73,0.0,24.47,c03n,803
2017-11-22,2017-11-23,Broken_clouds,69.07,55.57,0.0,23.79,c03n,803
2017-11-23,2017-11-24,Broken_clouds,71.18,56.36,0.0,23.36,c03n,803
2017-11-24,2017-11-25,Broken_clouds,63.33,60.42,0.0,26.33,c03n,803
2017-11-25,2017-11-26,Broken_clouds,66.62,50.25,0.0,25.75,c03d,803
2017-11-26,2017-11-27,Broken_clouds,69.0,59.0,0.0,25.0,c03n,803
2017-11-27,2017-11-28,Broken_clouds,62.11,53.67,0.0,27.22,c03n,803
2017-11-28,2017-11-29,Broken_clouds,,,,,,
2017-11-29,2017-11-30,Broken_clouds,65.09,60.64,0.0,26.73,c03d,803
2017-11-30,2017-12-01,Broken_clouds,72.4,61.6,0.0,23.2,c03n,803
2017-12-01,2017-12-02,Broken_clouds,72.0,51.62,0.0,24.15,c03n,803
2017-12-02,2017-12-03,Broken_clouds,,,,,,
2017-12-03,2017-12-04,Broken_clouds,62.0,67.0,0.0,29.0,c03d,803
2017-12-04,2017-12-05,Broken_clouds,70.25,62.25,0.0,25.5,c03n,803
2017-12-05,2017-12-06,Broken_clouds,73.86,54.57,0.0,24.86,c03n,803
2017-12-06,2017-12-07,Broken_clouds,64.33,50.11,0.0,26.89,c03n,803
2017-12-07,2017-12-08,Broken_clouds,73.0,59.5,0.0,25.0,c03n,803
2017-12-08,2017-12-09,Broken_clouds,63.0,61.67,0.0,27.67,c03d,803
2017-12-09,2017-12-10,Broken_clouds,72.55,65.45,0.0,24.91,c03n,803
2017-12-10,2017-12-11,Broken_clouds,57.6,58.6,0.0,28.8,c03d,803
2017-12-11,2017-12-12,Broken_clouds,36.67,65.0,0.0,20.0,c03d,803
2017-12-12,2017-12-13,Broken_clouds,74.88,61.12,0.0,24.62,c03n,803
2017-12-13,2017-12-14,Broken_clouds,69.0,62.25,0.0,25.62,c03d,803
2017-12-14,2017-12-15,Broken_clouds,76.25,49.0,0.0,24.5,c03n,803
2017-12-15,2017-12-16,Broken_clouds,,,,,,
2017-12-16,2017-12-17,Broken_clouds,,,,,,
2017-12-17,2017-12-18,Broken_clouds,60.5,44.5,0.0,29.0,c03d,803
2017-12-18,2017-12-19,Broken_clouds,61.0,61.4,0.0,28.0,c03n,803
2017-12-19,2017-12-20,Broken_clouds,,,,,,
2017-12-20,2017-12-21,Broken_clouds,65.6,63.8,0.0,26.6,c03d,803
2017-12-21,2017-12-22,Broken_clouds,61.5,55.33,0.0,28.17,c03d,803
2017-12-22,2017-12-23,Broken_clouds,61.86,58.71,0.0,27.86,c03d,803
2017-12-23,2017-12-24,Broken_clouds,65.0,54.83,0.0,26.67,c03n,803
2017-12-24,2017-12-25,Broken_clouds,50.0,55.75,0.0,30.0,c03d,803
2017-12-25,2017-12-26,Broken_clouds,,,,,,
2017-12-26,2017-12-27,Broken_clouds,61.22,61.0,0.0,27.56,c03d,803
2017-12-27,2017-12-28,Broken_clouds,73.0,62.67,0.0,24.0,c03n,803
2017-12-28,2017-12-29,Broken_clouds,60.0,57.33,0.0,28.33,c03d,803
2017-12-29,2017-12-30,Broken_clouds,61.83,62.0,0.0,27.5,c03d,803
2017-12-30,2017-12-31,Broken_clouds,64.38,59.0,0.0,27.88,c03d,803
2017-12-31,2018-01-01,Broken_clouds,59.5,69.5,0.0,28.5,c03d,803
2018-01-01,2018-01-02,Broken_clouds,,,,,,
2018-01-02,2018-01-03,Broken_clouds,60.6,62.0,0.0,28.4,c03d,803
2018-01-03,2018-01-04,Broken_clouds,58.67,54.0,0.0,28.5,c03n,803
2018-01-04,2018-01-05,Broken_clouds,61.93,52.86,0.0,28.36,c03n,803
2018-01-05,2018-01-06,Broken_clouds,73.6,58.6,0.0,25.6,c03d,803
2018-01-06,2018-01-07,Broken_clouds,,,,,,
2018-01-07,2018-01-08,Broken_clouds,48.5,55.83,0.0,31.67,c03d,803
2018-01-08,2018-01-09,Broken_clouds,,,,,,
2018-01-09,2018-01-10,Broken_clouds,,,,,,
2018-01-10,2018-01-11,Broken_clouds,59.14,56.43,0.0,27.86,c03d,803
2018-01-11,2018-01-12,Broken_clouds,66.8,63.2,0.0,25.0,c03n,803
2018-01-12,2018-01-13,Broken_clouds,64.67,56.83,0.0,26.5,c03d,803
2018-01-13,2018-01-14,Broken_clouds,59.5,63.5,0.0,27.75,c03d,803
2018-01-14,2018-01-15,Broken_clouds,54.0,59.5,0.0,28.0,c03d,803
2018-01-15,2018-01-16,Broken_clouds,,,,,,
2018-01-16,2018-01-17,Broken_clouds,47.0,55.6,0.0,30.8,c03d,803
2018-01-17,2018-01-18,Broken_clouds,69.0,69.0,0.0,26.0,c03n,803
2018-01-18,2018-01-19,Broken_clouds,70.57,58.0,0.0,26.29,c03n,803
2018-01-19,2018-01-20,Broken_clouds,60.71,57.14,0.0,28.86,c03n,803
2018-01-20,2018-01-21,Broken_clouds,65.31,62.69,0.0,28.38,c03d,803
2018-01-21,2018-01-22,Broken_clouds,70.17,61.17,0.0,27.11,c03n,803
2018-01-22,2018-01-23,Broken_clouds,70.6,58.8,0.0,27.6,c03n,803
2018-01-23,2018-01-24,Broken_clouds,74.0,58.45,0.0,26.45,c03n,803
2018-01-24,2018-01-25,Broken_clouds,78.86,50.71,0.0,26.29,c03n,803
2018-01-25,2018-01-26,Broken_clouds,84.25,46.25,0.0,26.0,c03n,803
2018-01-26,2018-01-27,Broken_clouds,80.75,57.5,0.0,26.5,c03d,803
2018-01-27,2018-01-28,Broken_clouds,66.5,58.75,0.0,28.25,c03n,803
2018-01-28,2018-01-29,Broken_clouds,61.67,53.67,0.0,28.67,c03n,803
2018-01-29,2018-01-30,Broken_clouds,74.25,56.12,0.0,27.0,c03n,803
2018-01-30,2018-01-31,Broken_clouds,80.89,59.56,0.0,26.0,c03n,803
